date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
31-Oct-01,158.27,598.85,21.18,2.01,1059.78,31.43000031,16.18666304,40.04000092,20.11069895,19.55666685,10.68361141
7-Nov-01,164.06,653.61,20.09,1.77,1115.8,31.13999939,17.58286934,42.02999878,20.52113162,21.11000013,10.94907382
14-Nov-01,168.33,669.54,19.74,1.84,1141.21,32.96500015,17.86193482,43.81999969,20.92981864,22.18666649,11.95999978
21-Nov-01,164.59,661.57,18.96,1.92,1137.03,30.85999966,16.87200138,45.25999832,21.61202406,21.82833354,11.57055544
28-Nov-01,164.3,667.46,19.22,1.84,1128.52,29.40499973,16.26589287,45.38999939,20.81312221,21.86999981,12.11027795
5-Dec-01,172.97,724.71,19.49,1.74,1170.35,28.72499943,18.00366795,47.59000015,21.86942475,24.07666652,12.07888903
12-Dec-01,171.67,709.38,18.36,1.64,1137.07,26.04999924,17.41472599,45.91999817,21.95689736,23.68999958,11.29351814
19-Dec-01,163.24,698.91,19.36,1.66,1149.56,26.64499903,16.46880935,47.11999893,21.49310352,22.28499993,10.57268523
26-Dec-01,169.35,686.56,21.27,1.72,1149.37,28.18999958,16.58897462,46.95000076,22.42817136,23.02166692,10.61787975
2-Jan-02,178.64,695.79,21.01,1.71,1154.67,28.6600008,17.64528502,47,22.2937718,23.0216669,11.00453736
9-Jan-02,187.35,719.21,20.18,1.65,1155.14,27.50500012,19.66045288,46.88000107,22.22706956,25.08588229,12.36667607
16-Jan-02,170.1,677.52,18.86,1.58,1127.57,27.22999907,17.36234663,44.13000107,21.48761849,21.56669921,10.32537975
23-Jan-02,167.75,676.24,19.5,1.68,1128.18,25.79999924,17.10044759,45.31000137,21.92198843,21.28096096,10.76444432
30-Jan-02,166.69,676.67,19.08,1.72,1113.57,24.58500052,17.68212678,45.88999939,22.3994968,22.37908375,10.96490774
6-Feb-02,157.62,651.9,19.78,1.71,1083.51,22.87500048,16.72982764,45.88999939,21.39062079,20.54526593,11.25639822
13-Feb-02,163.02,671.74,21.18,1.73,1118.51,24.01499963,17.3086461,47.15999985,21.25721724,22.57663724,11.65592606
20-Feb-02,153.47,640.6,20.29,1.73,1097.98,22.71000004,15.8437737,46.88000107,21.56317131,21.5765523,10.70842601
27-Feb-02,154.09,634.93,21.29,1.74,1109.89,23.16500092,16.48685618,48.79000092,21.96878141,20.79980298,10.30272343
6-Mar-02,164.05,692.58,23.15,1.75,1162.77,25.50000048,18.77968075,50.58000183,22.88672904,23.58000723,11.30935181
13-Mar-02,166.36,685.38,24.16,1.79,1154.09,25.05000067,18.23475521,50.81000137,22.88946187,23.03784289,10.88361081
20-Mar-02,168.41,682.43,24.9,1.81,1151.85,25.9899993,18.07057328,52.70000076,22.94875366,23.34681829,10.95102781
27-Mar-02,171.21,674.83,25.87,1.78,1144.58,26.65499974,18.32498905,51.88000107,23.55992776,23.81483855,11.11685204
3-Apr-02,169.31,657.86,27.56,1.76,1125.4,26.15499926,18.45967984,49.59999847,23.44452894,24.08909795,11.04491702
10-Apr-02,170.55,640.19,26.13,1.68,1130.47,26.31999922,18.04970962,51,23.67669999,24.99539852,12.597241
17-Apr-02,172.73,653.54,25.94,1.7,1126.07,24.63500071,19.22750538,50.5,22.36907608,21.74093404,14.0927689
24-Apr-02,165.79,614.93,26.38,1.69,1093.14,24.87500048,17.98254029,48,21.54322412,20.31552557,13.85000886
1-May-02,160.56,603.94,26.75,1.74,1086.46,24.07999992,17.45169989,48.90999985,22.58453964,20.05425479,14.05509242
8-May-02,160.02,606.4,27.85,1.73,1088.85,23.67000008,17.22360592,51.34000015,23.69921612,20.4284078,13.43750913
15-May-02,163.73,619.11,28.15,1.73,1091.07,22.86000014,17.6072985,52.18999863,23.78489399,20.46151486,13.47777775
22-May-02,158.43,599.26,26.37,1.71,1086.02,22.99000073,16.80553631,50.88999939,23.6435108,18.56792131,12.01879618
29-May-02,154.67,582.96,25.76,1.72,1067.66,22.98500061,16.22847865,49.65000153,22.92388229,17.94241657,11.66389776
5-Jun-02,143.22,571.99,24.89,1.72,1049.9,18.25999975,15.59956946,49.25,22.55334723,16.88797527,10.38722256
12-Jun-02,135.35,542.53,24.64,1.71,1020.26,17.32999992,14.1130413,48.43000031,22.64236472,16.96860631,9.066204109
19-Jun-02,132.37,535.56,25.31,1.68,1019.99,18.09499979,13.65641311,47.84000015,21.6983199,16.48744841,8.702804665
